Brand,Product,Variant Scope,Affected Variants,Current Category,Current Weight(s),Corrected Ship Class,Rec L,Rec W,Rec H,Recommended Site Weight,Delta Min,Delta Max,Match Source,Confidence,Action,Reason
⚪ Other,R34 GTR Z-Tune Style Side Skirts,All variants,5,Side Skirts,37,Side Skirts,205.0,28.0,17.0,20.0,-17.0,-17.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R34-SS cleaned historical cartons.
⚪ Other,R34 GTT GTR-Style Rear Fender,All variants,5,Rear Fender,62,Rear Fender,140.0,62.0,19.0,33.0,-29.0,-29.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched R34-RF cleaned historical cartons.
⚪ Other,R34 GTT Z-Tune Rear Bumper Caps / Skyline R34 GTT 2D GTR Conversion Rear Bumper Spats (ONLY Fit GTR-Style Bumper),All variants,4,Bumper,170,Spats / Extensions,73.0,31.0,25.0,12.0,-158.0,-158.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched R34-SPAT cleaned historical cartons.
⚪ Other,R34 GTT Z-Tune Rear Diffuser 5pcs 1999-2000 Skyline R34 GTT 2D GTR Conversion East Bear Style,All variants,4,Rear Diffuser,48,Rear Diffuser,148.0,71.0,15.0,32.0,-16.0,-16.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched R34-DIF cleaned historical cartons.
⚪ Other,R34 GTT Z-Tune Side Skirt Extensions / Skyline R34 GTT 2D GTR Conversion Side Skirt Extensions (2pcs),All variants,5,Side Skirts,37,Side Skirts,205.0,28.0,17.0,20.0,-17.0,-17.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R34-SS cleaned historical cartons.
⚪ Other,R35 GTR B Style Exhaust Surround Shroud Heat Shield 2pcs,All variants,5,Small Panel,15,Heatshield,41.0,26.0,12.0,3.0,-12.0,-12.0,Cleaned category P75,High,UPDATE SITE,Cleaned P75 of small heatshield cartons. Representative carton: A-MX5-HEAT-NA / OD-0020315.
⚪ Other,Skyline R34 GTT Z-Tune Side Skirt Extensions / Skyline R34 GTT 2D GTR Conversion Side Skirt Extensions (2pcs),All variants,5,Side Skirts,37,Side Skirts,205.0,28.0,17.0,20.0,-17.0,-17.0,Exact vehicle + part P75,High,UPDATE SITE,Matched R34-SS cleaned historical cartons.
🌊 Subaru,Subaru Impreza 98-00 Hood Scoop,All variants,1,Hood,74,Hood Vent / Scoop,45.0,33.0,18.0,6.0,-68.0,-68.0,Cleaned category P75,Medium,UPDATE SITE,Standalone vent/scoop only. Representative carton: A-EP82-HV-OE / OD-0026027.
🏎️ BMW,BMW 4 Series F32 Trunk Wing,All variants,1,Trunk/Boot,67,Standard Spoiler / Wing,133.0,43.0,26.0,30.0,-37.0,-37.0,Cleaned category P75,High,UPDATE SITE,Generic standard-wing fallback; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: B-YARISGR-RS-GV / OD-0027494.
🏎️ BMW,BMW M2 Front Bumper Lip,All variants,4,Bumper,140,Front Lip / Splitter,177.0,57.0,17.0,35.0,-105.0,-105.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of actual single-unit cartons. Representative carton: B-R34-FL-HSM / OD-0027251.
🏎️ BMW,BMW M2 Rear Wing,All variants,4,Spoiler/Wing,17,Standard Spoiler / Wing,133.0,43.0,26.0,30.0,13.0,13.0,Cleaned category P75,High,UPDATE SITE,Generic standard-wing fallback; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: B-YARISGR-RS-GV / OD-0027494.
🏎️ BMW,BMW M2 Side Skirt Extension,All variants,2,Side Skirts,28,Side Skirts,171.0,31.0,20.0,22.0,-6.0,-6.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75; full side-skirt cartons. Representative carton: B-MX5-SS-ND-ESQ / OD-0021733.
🏎️ BMW,BMW M3 E92-E93 Front Bumper Lip,All variants,4,Bumper,140,Front Lip / Splitter,177.0,57.0,17.0,35.0,-105.0,-105.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of actual single-unit cartons. Representative carton: B-R34-FL-HSM / OD-0027251.
🏎️ BMW,ETi BMW E46 Front Bumper Canards – Carbon Fiber / Dry Carbon,All variants,2,Bumper,140,Canards,66.0,24.0,22.0,7.0,-133.0,-133.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75; prevents full-bumper inheritance. Representative carton: A-G70-CANA-EPA / OD-0018524.
🏎️ BMW,ETi BMW E46 Front Bumper Lip – Carbon Fiber / Dry Carbon,All variants,2,Bumper,140,Front Lip / Splitter,177.0,57.0,17.0,35.0,-105.0,-105.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of actual single-unit cartons. Representative carton: B-R34-FL-HSM / OD-0027251.
🏎️ BMW,ETi BMW F10-G30 Duckbill Trunk Spoiler,All variants,5,Trunk/Boot,67,Duckbill / Small Spoiler,133.0,41.0,14.0,16.0,-51.0,-51.0,Cleaned category P75,High,UPDATE SITE,Small spoiler class uses RS cartons at or below 20 volumetric kg. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: A-G70-RS-EPA2 / OD-0027297.
🏎️ BMW,ETi BMW M3 E92-E93 Front Fender Vents,All variants,5,Front Fender,66,Fender Vent / Add-on,66.0,22.0,13.0,4.0,-62.0,-62.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of small fender add-ons. Representative carton: B-FK8-FFAV-EPA / OD-0026319.
🔱 Mercedes-Benz,Mercedes-Benz W 140 2DOOR FAB DESIGN Body Kit,Side Skirt / Fiberglass (FRP); Side Skirt / Forged Carbon; Side Skirt / Gloss Carbon; Side Skirt / Kevlar; Side Skirt / Matte Carbon,5,Side Skirts,28,Side Skirts,171.0,31.0,20.0,22.0,-6.0,-6.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75; full side-skirt cartons. Representative carton: B-MX5-SS-ND-ESQ / OD-0021733.
🔱 Mercedes-Benz,Mercedes-Benz W220 WALD Body Kit,Side Skirt / Fiberglass (FRP); Side Skirt / Forged Carbon; Side Skirt / Gloss Carbon; Side Skirt / Kevlar; Side Skirt / Matte Carbon,5,Side Skirts,28,Side Skirts,171.0,31.0,20.0,22.0,-6.0,-6.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75; full side-skirt cartons. Representative carton: B-MX5-SS-ND-ESQ / OD-0021733.
🔱 Mercedes-Benz,Mercedes-Benz W220 WALD Body Kit,Rear Spoiler / Fiberglass (FRP); Rear Spoiler / Forged Carbon; Rear Spoiler / Gloss Carbon; Rear Spoiler / Kevlar; Rear Spoiler / Matte Carbon,5,Spoiler/Wing,17,Standard Spoiler / Wing,133.0,43.0,26.0,30.0,13.0,13.0,Cleaned category P75,High,UPDATE SITE,Generic standard-wing fallback; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: B-YARISGR-RS-GV / OD-0027494.
🔴 Mitsubishi,ETi Evo 8 VS-Style Carbon Fiber Air Duct & Oil Cooler Guide (3-Piece Kit),All variants,5,Accessory,5,Duct / Guide,43.0,31.0,27.0,8.0,3.0,3.0,Cleaned category P75,High,UPDATE SITE,Cleaned P75 of ducts and guides. Representative carton: A-NSX-SDUCT-OE / OD-0024874.
🔴 Mitsubishi,ETi Evo 8/9 Carbon Fiber Vented Headlight Air Duct LHD,All variants,5,Accessory,5,Duct / Guide,43.0,31.0,27.0,8.0,3.0,3.0,Cleaned category P75,High,UPDATE SITE,Cleaned P75 of ducts and guides. Representative carton: A-NSX-SDUCT-OE / OD-0024874.
🔴 Mitsubishi,ETi Evo 8/9 Time Attack Voltex Front Fenders,All variants,1,Front Fender,66,Front Fender,119.0,84.0,36.0,72.0,6.0,6.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched EVO8-FF cleaned historical cartons.
🔴 Mitsubishi,ETi Evo 8/9 Time Attack Voltex Rear Fender Flare,All variants,1,Rear Fender,41,Fender Flare / Arch,86.0,44.0,12.0,10.0,-31.0,-31.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched EVO8-ARCH cleaned historical cartons.
🔴 Mitsubishi,ETi Evo 8/9 Time Attack Voltex Side Skirt,All variants,1,Side Skirts,28,Side Skirts,171.0,31.0,20.0,22.0,-6.0,-6.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75; full side-skirt cartons. Representative carton: B-MX5-SS-ND-ESQ / OD-0021733.
🔴 Mitsubishi,ETi Evo 8/9 USDM OEM-Style Rear Bumper Exhaust Heatshield,All variants,5,Bumper,140,Heatshield,41.0,26.0,12.0,3.0,-137.0,-137.0,Cleaned category P75,High,UPDATE SITE,Cleaned P75 of small heatshield cartons. Representative carton: A-MX5-HEAT-NA / OD-0020315.
🔴 Mitsubishi,ETi Evo 8/9 VS-Style Carbon Fiber Exhaust Heatshield,All variants,5,Accessory,5,Heatshield,41.0,26.0,12.0,3.0,-2.0,-2.0,Cleaned category P75,High,UPDATE SITE,Cleaned P75 of small heatshield cartons. Representative carton: A-MX5-HEAT-NA / OD-0020315.
🔴 Mitsubishi,ETi Evo 9 RA-Style Front Bumper Oil Cooler Guide & Air Duct,All variants,5,Bumper,140,Duct / Guide,43.0,31.0,27.0,8.0,-132.0,-132.0,Cleaned category P75,High,UPDATE SITE,Cleaned P75 of ducts and guides. Representative carton: A-NSX-SDUCT-OE / OD-0024874.
🔴 Mitsubishi,ETi Evolution 8/9 Carbon Fiber Cooling Panel,All variants,4,Small Panel,10,Cooling Panel,133.0,35.0,13.0,13.0,3.0,3.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 after removing a clear oversized outlier. Representative carton: B-R34-CP-GARA / OD-0027441.
🔴 Mitsubishi,ETi Evolution 8/9 Carbon Fiber Duckbill Spoiler,All variants,5,Spoiler/Wing,17,Duckbill / Small Spoiler,133.0,41.0,14.0,16.0,-1.0,-1.0,Cleaned category P75,High,UPDATE SITE,Small spoiler class uses RS cartons at or below 20 volumetric kg. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: A-G70-RS-EPA2 / OD-0027297.
🔴 Mitsubishi,ETi Evolution 8/9 Carbon Fiber Side Skirt Add-On Spats,All variants,4,Side Skirts,28,Spats / Extensions,202.0,17.0,13.0,9.0,-19.0,-19.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched EVO8-SSX cleaned historical cartons.
🔴 Mitsubishi,ETi Evolution 8/9 Type-5 Carbon Fiber GT Wing,All variants,3,GT Wing,52,GT Wing,141.0,57.0,30.0,49.0,-3.0,-3.0,Cleaned category P75,High,UPDATE SITE,Large wing class; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: A-YARISGR-RS-EPA3 / OD-0027721.
🔴 Mitsubishi,ETi Evolution 8/9 Varis Style Front Fender Add-On,All variants,5,Front Fender,66,Fender Vent / Add-on,66.0,22.0,13.0,4.0,-62.0,-62.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of small fender add-ons. Representative carton: B-FK8-FFAV-EPA / OD-0026319.
🔴 Mitsubishi,ETi Evolution 9 Rear Bumper Extensions,All variants,5,Bumper,140,Spats / Extensions,208.0,20.0,15.0,13.0,-127.0,-127.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of single-unit extension cartons. Representative carton: B-R34-SSX-OE-CON / OD-0026518.
🔴 Mitsubishi,ETi Mitsubishi EVO 6 OEM Carbon Fiber Spoiler,All variants,4,Spoiler/Wing,17,Standard Spoiler / Wing,133.0,43.0,26.0,30.0,13.0,13.0,Cleaned category P75,High,UPDATE SITE,Generic standard-wing fallback; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: B-YARISGR-RS-GV / OD-0027494.
🔴 Mitsubishi,ETi Mitsubishi Evo 9 MR SE-Style Front Lip,All variants,4,Front Lip,32,Front Lip / Splitter,177.0,57.0,17.0,35.0,3.0,3.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of actual single-unit cartons. Representative carton: B-R34-FL-HSM / OD-0027251.
🔴 Mitsubishi,EVO HKS Widebody Front Bumper Canards CF,All variants,1,Bumper,140,Canards,66.0,24.0,22.0,7.0,-133.0,-133.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75; prevents full-bumper inheritance. Representative carton: A-G70-CANA-EPA / OD-0018524.
🔴 Mitsubishi,EVO HKS Widebody Front Bumper Lip CF,All variants,1,Bumper,140,Front Lip / Splitter,177.0,57.0,17.0,35.0,-105.0,-105.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of actual single-unit cartons. Representative carton: B-R34-FL-HSM / OD-0027251.
🔴 Mitsubishi,EVO HKS Widebody Side Skirt,All variants,2,Side Skirts,28,Side Skirts,171.0,31.0,20.0,22.0,-6.0,-6.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75; full side-skirt cartons. Representative carton: B-MX5-SS-ND-ESQ / OD-0021733.
🔴 Mitsubishi,EVO HKS Widebody Spoiler Wing,All variants,2,Spoiler/Wing,17,Standard Spoiler / Wing,133.0,43.0,26.0,30.0,13.0,13.0,Cleaned category P75,High,UPDATE SITE,Generic standard-wing fallback; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: B-YARISGR-RS-GV / OD-0027494.
🔴 Mitsubishi,Mitsubishi Lancer Evolution X Carbon Fiber Front Bumper Lip,All variants,4,Bumper,140,Front Lip / Splitter,177.0,57.0,17.0,35.0,-105.0,-105.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of actual single-unit cartons. Representative carton: B-R34-FL-HSM / OD-0027251.
🔴 Mitsubishi,Mitsubishi Lancer Evolution X Carbon Fiber Front Bumper Splitter,All variants,4,Bumper,140,Front Lip / Splitter,177.0,57.0,17.0,35.0,-105.0,-105.0,Cleaned category P75,Medium,UPDATE SITE,Cleaned P75 of actual single-unit cartons. Representative carton: B-R34-FL-HSM / OD-0027251.
🔵 Honda,ETi Honda Civic 2006 ETi Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic 2006 OEM Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic 2012 FB OEM Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic 2012 FC/FK ETi Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic 2012 FC/FK OEM Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic 3D ETi XO Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic 3D OEM Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic 4D ETi Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic EG Carbon Fiber Drag Racing Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic EG Dry Carbon Fiber Drag Racing Front Fender,All variants,5,Front Fender,46,Front Fender,115.0,71.0,30.0,49.0,3.0,3.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched EG-FF cleaned historical cartons.
🔵 Honda,ETi Honda Civic EG Front Fenders (+20mm),All variants,5,Front Fender,46,Front Fender,115.0,71.0,30.0,49.0,3.0,3.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched EG-FF cleaned historical cartons.
🔵 Honda,ETi Honda Civic EK 4-Door Drag Stance Carbon Fiber Duckbill Spoiler,All variants,5,Door,40,Duckbill / Small Spoiler,124.0,51.0,17.0,22.0,-18.0,-18.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched EK-RS cleaned historical cartons.
🔵 Honda,ETi Honda Civic EK Front Fenders,All variants,5,Front Fender,46,Front Fender,112.0,74.0,30.0,50.0,4.0,4.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched EK-FF cleaned historical cartons.
🔵 Honda,ETi Honda Civic EK OEM Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic EK Racing Wing,All variants,4,Spoiler/Wing,10,Standard Spoiler / Wing,124.0,51.0,17.0,22.0,12.0,12.0,Exact vehicle + part P75,Medium,UPDATE SITE,Matched EK-RS cleaned historical cartons.
🔵 Honda,ETi Honda Civic EK99 ETi V2 Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic EK99 OEM Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic EP3 Carbon Fiber Spoiler,All variants,4,Spoiler/Wing,10,Standard Spoiler / Wing,125.0,49.0,24.0,30.0,20.0,20.0,Exact vehicle + part P75,High,UPDATE SITE,Matched EP3-RS cleaned historical cartons.
🔵 Honda,ETi Honda Civic EP3 OEM Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic FC Vented Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Civic FC Wing,All variants,4,Spoiler/Wing,10,Standard Spoiler / Wing,133.0,43.0,26.0,30.0,20.0,20.0,Cleaned category P75,High,UPDATE SITE,Generic standard-wing fallback; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: B-YARISGR-RS-GV / OD-0027494.
🔵 Honda,ETi Honda Civic GT Wing (Chassis-Mounted),All variants,4,GT Wing,52,GT Wing,141.0,57.0,30.0,49.0,-3.0,-3.0,Cleaned category P75,High,UPDATE SITE,Large wing class; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: A-YARISGR-RS-EPA3 / OD-0027721.
🔵 Honda,ETi Honda Civic GT Wing (Trunk Mounted),All variants,4,Trunk/Boot,52,GT Wing,141.0,57.0,30.0,49.0,-3.0,-3.0,Cleaned category P75,High,UPDATE SITE,Large wing class; exact vehicle evidence preferred. Representative carton: A-DE5-RS-AR2& / OD-0022319. Representative carton: A-YARISGR-RS-EPA3 / OD-0027721.
🔵 Honda,ETi Honda Civic OEM Hood,All variants,6,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda EG Mod X Vented Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda EG Type J Vented Carbon Fiber Hood,All variants,3,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda EK9 OEM Hood,All variants,10,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda FK Carbon Fiber X Clear Hybrid V3 Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda FK/FC Type RS2 Vented Style Hood,All variants,3,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Jazz GE 2007 ETi Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Jazz GE 2007 OEM Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Jazz/Fit GD J's Racing Spec Carbon Fiber Hood,All variants,3,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Jazz/Fit GE Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Jazz/Fit GE OEM Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Jazz/Fit GK Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,ETi Honda Jazz/Fit J's Racing Style Hood,All variants,3,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,Honda Civic 2006 Mugen Style Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,Honda Civic 2006 Type R Style Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,Honda Civic 2012 FB J's Racing Style Carbon Fiber Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,Honda Civic EK 2/4-Door Drag Stance Carbon Fiber Hood,All variants,3,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,Honda Civic EK J's Racing Style Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,Honda Civic EK M&M Style Hood,All variants,4,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
🔵 Honda,Honda Civic EK Vented Hood,All variants,3,Hood,55,Hood,170.0,133.0,16.0,73.0,18.0,18.0,Established ETi hood tier,Established,UPDATE SITE,Retain the established ETi standard hood tier.
